origin,hour,y_true,y_pred,model
2026-01-08 00:00:00+00:00,0,83.08250000000001,37.56928854167715,LightGBM
2026-01-08 00:00:00+00:00,1,84.52250000000001,34.76602540156908,LightGBM
2026-01-08 00:00:00+00:00,2,82.4725,32.98464631506012,LightGBM
2026-01-08 00:00:00+00:00,3,85.265,31.60010137997599,LightGBM
2026-01-08 00:00:00+00:00,4,87.8875,32.055941417950926,LightGBM
2026-01-08 00:00:00+00:00,5,97.88,36.89313444978568,LightGBM
2026-01-08 00:00:00+00:00,6,126.7125,46.14741609592077,LightGBM
2026-01-08 00:00:00+00:00,7,168.81,59.11221615372899,LightGBM
2026-01-08 00:00:00+00:00,8,192.72,59.89533125096607,LightGBM
2026-01-08 00:00:00+00:00,9,207.9325,63.305698235493,LightGBM
2026-01-08 00:00:00+00:00,10,213.1125,58.254932438578074,LightGBM
2026-01-08 00:00:00+00:00,11,220.27,60.25918388279448,LightGBM
2026-01-08 00:00:00+00:00,12,236.215,58.060486988891114,LightGBM
2026-01-08 00:00:00+00:00,13,264.585,55.9990136201682,LightGBM
2026-01-08 00:00:00+00:00,14,264.42,56.9919904452493,LightGBM
2026-01-08 00:00:00+00:00,15,259.49,56.40189157920078,LightGBM
2026-01-08 00:00:00+00:00,16,233.8525,55.98030064479109,LightGBM
2026-01-08 00:00:00+00:00,17,199.3975,61.853597206413674,LightGBM
2026-01-08 00:00:00+00:00,18,139.2475,56.49758657079708,LightGBM
2026-01-08 00:00:00+00:00,19,102.125,52.107450822047255,LightGBM
2026-01-08 00:00:00+00:00,20,94.4825,42.55971915567412,LightGBM
2026-01-08 00:00:00+00:00,21,91.305,35.268627071980625,LightGBM
2026-01-08 00:00:00+00:00,22,79.035,33.833085104474776,LightGBM
2026-01-08 00:00:00+00:00,23,78.9625,21.49188441723588,LightGBM
2026-01-09 00:00:00+00:00,0,70.69,35.44379800479035,LightGBM
2026-01-09 00:00:00+00:00,1,57.35,33.60871347843258,LightGBM
2026-01-09 00:00:00+00:00,2,50.84,27.887156629500705,LightGBM
2026-01-09 00:00:00+00:00,3,47.845,26.971662825475875,LightGBM
2026-01-09 00:00:00+00:00,4,56.575,25.83251016033867,LightGBM
2026-01-09 00:00:00+00:00,5,72.605,30.220694425320463,LightGBM
2026-01-09 00:00:00+00:00,6,84.3025,41.77711605782746,LightGBM
2026-01-09 00:00:00+00:00,7,89.7625,53.648839544058525,LightGBM
2026-01-09 00:00:00+00:00,8,89.1475,55.36940680711464,LightGBM
2026-01-09 00:00:00+00:00,9,93.93,53.239532894645706,LightGBM
2026-01-09 00:00:00+00:00,10,85.795,51.39505935603393,LightGBM
2026-01-09 00:00:00+00:00,11,83.015,46.605190866964435,LightGBM
2026-01-09 00:00:00+00:00,12,82.85,42.97813537845237,LightGBM
2026-01-09 00:00:00+00:00,13,82.83500000000001,37.14768110552841,LightGBM
2026-01-09 00:00:00+00:00,14,85.245,42.13059694571842,LightGBM
