feature_group,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
price_D-1,5.4206170083364205,6.092813191240621,6.256249740352514,5.946039507819615,5.581576181809809,4.805303822259312,3.560568000025341,3.7829204297661523,3.7772896973203745,4.103468241690345,3.3697894569287135,3.39616999599931,3.121444043740311,2.9878387005217157,2.7937785442869716,3.0501158489210174,3.779913350156311,4.214009932258813,3.258286063376852,3.1958308687498334,2.190947793871413,1.8290271826286617,1.936961409747814,1.9093958584419013
price_D-2,0.5481679898369747,0.5288810066787423,0.7792535325568583,0.9208500780063963,0.9942776347760519,0.9034174630385658,0.7540111081770432,0.9887306287902423,0.796483755456221,0.8191585821032394,0.8514455379283462,0.8724638704072996,0.8634371171664911,0.9159625892941572,0.9427173974605726,1.0615657438799846,0.9852268793683044,1.3176377431534585,1.3189057880816735,0.9843580807008641,0.93301647697791,0.8584520356962022,0.8585575334137009,0.8676942982832236
price_D-3,0.47215950971659,0.48223814535475373,0.624361426543065,0.6638604143590408,0.7345969715833861,0.6084769075902637,0.7863731708193384,0.8620000199428145,0.8772138775977466,0.6647936218866293,0.8052705351509868,0.9180821202049374,0.9119901730515504,1.0324040868998425,1.1671971655004734,1.0042022374689785,0.9150415447574038,1.1498397349949347,1.1683830758007945,1.1098500245179939,0.9204378900725931,1.0214000676261905,0.8119063441764942,0.6718890366405141
price_D-7,0.8446518415467078,0.7796354789374752,0.7546905833090249,0.8790813142353581,0.9352521213596241,1.181428891257002,2.2774955688750858,2.269200543893995,2.6932916142689045,2.365177821762928,1.8761895307021161,1.9038091206369565,1.7660563511714795,1.6694705374561114,1.780657632706983,1.8732184902023288,1.905324422292142,2.927275850828679,2.794639996695183,2.942922825334932,2.3569020131106986,1.9291020369332945,1.2671918870049896,0.9370728286404426
exog_1_D-1,0.4255742639787825,0.41267476486284527,0.45402546333618904,0.6552132049238105,0.5919546304561671,0.4953652967525806,0.6351029821023694,0.7256805594154015,0.7856375739501508,0.7689145433691973,0.5959420986326139,0.7614316367997558,0.7556127195785197,0.8267139823464904,0.8283565256763373,0.9202243138572671,0.8948381348068982,0.8414104518663312,0.8258502629603636,0.7128462926035385,0.6710167690305011,0.469901671364304,0.4316349895897881,0.3698817301097616
exog_1_D-7,0.4287307613659211,0.40638657281963314,0.3920506765366686,0.5374560328932771,0.5693740589257563,0.6245204188850106,0.76286952981269,0.9494137406705296,1.1374199518302928,0.8451385971860037,0.8059308109070503,0.6633571396099703,0.6916688155743252,0.6809417720942024,0.7238346238798756,0.8157677857914805,1.0101843070634104,1.1640118222319515,0.956506227147104,0.7341893571060886,0.5838733052887566,0.6100544443494001,0.5950767746798044,0.515977719802315
exog_1_D0,0.3653681464613079,0.47190874837893737,0.6664105166136819,0.7655344110965155,0.9119634240302258,1.7156060694486173,5.436072626575671,9.002309572873184,7.756012551699525,5.390719207467602,5.005466687405359,4.45051493156776,4.173935026718512,4.901566203201173,5.242801776464135,5.3493570959013,4.838203858893632,4.38688127890571,3.856144705292037,3.4087219702832474,2.6172218092212676,1.8378604021771863,0.9840260731954208,0.5540875373190022
exog_2_D-1,0.6013883850998896,0.6679879889804583,0.8780048442309155,1.029062955270624,1.0638642873903152,0.7947607967887255,0.7992716360422866,0.8047350258258039,1.0312722502184617,1.1303307031352388,1.1668007376186305,1.139414506828372,1.159322101487395,1.0048096297203566,0.9889097519613302,0.8694424598523303,1.0672959806381859,1.2551053529908651,1.1643784560211314,1.4368838735124856,0.9553205197684093,0.8689942932516189,1.0234694428972726,0.7867621548176995
exog_2_D-7,0.4769875437497091,0.4292685678371868,0.5816133311886954,0.6378291697422054,0.5773998366128686,0.43746939954970027,0.6096451909214493,0.748448818436798,0.823227529771806,0.7373013768413023,0.621249433769091,0.8228659414016707,0.7506569768742193,0.7133013991898332,0.7521473554285335,0.6102522287255835,0.5876886926655768,0.8578814207957479,0.9828032084853182,0.8853426907997677,0.699563914103538,0.6844150515223808,0.8204859656871937,0.5873902701534041
exog_2_D0,2.4242025264382634,2.4277269640865806,3.060090170192917,3.4789650384004576,3.6641974947975857,3.213345574757465,4.249832670669075,4.582580873452367,5.499517284273157,6.441455032197646,7.543422479706248,8.140431001879255,8.056230786118258,7.884841031699852,7.851595882259961,7.2516376159295755,6.790633244675196,7.152510514784749,8.177186962709914,7.207138941491145,6.505942748430929,6.451474975015623,6.268273773214098,6.2294641120797785
dow,0.017026559703911877,0.019694474511908935,0.011311922360234261,0.020149440117657874,0.010527863999617035,0.04470558050862185,0.10312927339605632,0.28394775363626423,0.3431829955985086,0.23771121696538575,0.2009261865913149,0.10690394171858958,0.10518098051492802,0.273991710880087,0.22505388301207013,0.3104620409388932,0.23578867654245492,0.10059651551795906,0.19269910816426658,0.24016447153292034,0.09427599866314147,0.14668324136416985,0.10959391588435376,0.05293198067134418
