origin,y_true,y_pred,model
2016-01-04,27.474583333333328,24.949166666666667,naive
2016-01-05,33.389166666666675,27.47458333333333,naive
2016-01-06,33.606249999999996,33.38916666666667,naive
2016-01-07,33.39541666666666,33.606249999999996,naive
2016-01-08,26.9675,33.39541666666667,naive
2016-01-09,28.89708333333333,18.137083333333333,naive
2016-01-10,20.562916666666666,14.145416666666668,naive
2016-01-11,33.61625,26.9675,naive
2016-01-12,29.446249999999996,33.61625,naive
2016-01-13,29.160416666666666,29.446250000000003,naive
2016-01-14,33.59416666666667,29.160416666666663,naive
2016-01-15,35.40416666666666,33.594166666666666,naive
2016-01-16,28.3175,28.89708333333333,naive
2016-01-17,27.566249999999997,20.562916666666666,naive
2016-01-18,38.86625000000001,35.40416666666667,naive
2016-01-19,48.20208333333334,38.86625,naive
2016-01-20,48.72666666666667,48.20208333333333,naive
2016-01-21,52.17958333333333,48.72666666666667,naive
2016-01-22,33.2925,52.17958333333333,naive
2016-01-23,28.279583333333335,28.317499999999995,naive
2016-01-24,26.34500000000001,27.566249999999997,naive
2016-01-25,28.34041666666667,33.2925,naive
2016-01-26,25.510416666666657,28.34041666666667,naive
2016-01-27,19.202499999999997,25.510416666666668,naive
2016-01-28,25.80208333333333,19.2025,naive
2016-01-29,22.647500000000004,25.802083333333332,naive
2016-01-30,12.052083333333334,28.279583333333335,naive
2016-01-31,12.051249999999998,26.345,naive
2016-02-01,21.254166666666666,22.647499999999997,naive
2016-02-02,16.56958333333333,21.254166666666666,naive
2016-02-03,22.866666666666664,16.569583333333334,naive
2016-02-04,26.36333333333334,22.866666666666664,naive
2016-02-05,27.860416666666666,26.363333333333333,naive
2016-02-06,16.296249999999997,12.052083333333334,naive
2016-02-07,9.772916666666667,12.051249999999998,naive
2016-02-08,13.64125,27.86041666666667,naive
2016-02-09,16.152083333333334,13.64125,naive
2016-02-10,24.32916666666667,16.152083333333334,naive
2016-02-11,25.71541666666667,24.32916666666667,naive
2016-02-12,28.591666666666672,25.71541666666667,naive
2016-02-13,22.936666666666667,16.29625,naive
2016-02-14,15.366249999999999,9.772916666666667,naive
2016-02-15,24.527083333333334,28.591666666666665,naive
2016-02-16,32.368750000000006,24.527083333333334,naive
2016-02-17,26.089166666666667,32.368750000000006,naive
2016-02-18,27.86375,26.08916666666666,naive
2016-02-19,27.362499999999997,27.86375,naive
2016-02-20,14.190000000000003,22.936666666666667,naive
2016-02-21,8.923749999999998,15.366249999999999,naive
2016-02-22,19.18958333333333,27.3625,naive
2016-02-23,24.519166666666663,19.189583333333335,naive
2016-02-24,23.95125,24.519166666666667,naive
2016-02-25,27.88,23.951249999999998,naive
2016-02-26,27.833750000000006,27.879999999999995,naive
2016-02-27,23.000833333333343,14.189999999999998,naive
2016-02-28,18.33666666666667,8.92375,naive
2016-02-29,23.944999999999997,27.83375,naive
2016-03-01,24.997083333333332,23.945000000000004,naive
2016-03-02,24.049166666666668,24.997083333333336,naive
2016-03-03,28.190416666666664,24.049166666666668,naive
